# virglrs commit map, main reworded to the CLAUDE.md commit-message rules.
# old_sha	new_sha ('-' = not on main)	where it lives now	old subject
00657a4de23f2b4fa3bff4b049dfff9bdf792fc9	141bf4dcae56c0d677ae73dca32065935aee09f0	main	vrend: refill a journal slot rather than rebuilding it
00f866ce28330a3457ca80f5156ab109f04204bf	04ccca47e76d628947e153e56cad4c2f58abd815	main	renderer: put shared memory behind the attach gate too
030fc7d131c1852ab17a0a8a155a2e78b8a7ea26	e32ce684a0451f17022dfc775ce4ba05fff2dc01	main	vrend: a feature owns its entry points, and the wrappers behind it are infallible
033678c9bbb2a54a91f1df2209b8b551bf457fea	69b5827e0b7fd6a67960b5a1417da1fdac62003c	main	vrend: a binding point, a texture unit and an image unit are three things
035cb2adfe55ddf7089ba085279105261d333b59	4a0bfba1832dc98f109da1b5fad4c8480e169316	main	harness: configure the suite before every run, not once per session
03a152b0c4e79ebb118d0042f34fbfe4d7f1f3e3	bc5731611a3f2315c4ce3d677ef47e6e7c4b250e	main	vrend: put a classic context's pixels back after its world is rebuilt
03c1ff17c6d8ecc7f80348f47be4bf46fc9141d5	f4875800bf0b30d6cd42cd051db39595ead8f7a5	main	harness: score the strided array by what it decodes, not by whether it builds
0481fb1ce82951a1ebfad127236df5c7a9af2c58	fa8fa260ace99986be9b80e8b2b093a9d7129803	main	vulkan: generate the driver's proc tables from the same vk.xml as the wire
06439d206d430ce00a17c821f2d1df4731bb4e72	53eefb53002e88d751203ca1e6b85ba2f40282ce	main	harness: drive and read the browser over Marionette
06aa706d6ac8154577a8a541e2a84da082bc2368	5f60b16e5141569571106c1ce739461394206371	main	vrend: create the texture buffer the C creates, and pin the acceptance set
070e1cf12202c1f1adbfbb59dd1898ec313aa638	6b0bf7be928a35cbdae1886849aea0a7cb7d47e2	main	vrend: resolve a resource's presentable storage once
07d0c1e8712cfc6e8d148c854538dbfcf5ceefce	7a63eef504f5e75f6fdba361ae7f83f8c93d2efb	main	vrend: refuse a planar blob by name, and record what serving one would take
08c5257daad71337709131d394310bcd3c979555	c4fe1e2fb54af2c26f0a1e10be5a215c4a171256	main	vrend: read an exported scanout back through its own descriptor
08f9d5bd0f1727cc5cc3a91c03f3e5b286403e22	95d4869d1cece7821335f4f44f92cd60f388f299	main	venus: give the resource table and each context a lock of their own
09578559e9f6b5469ed233a094ac93af4ae794b4	912394ae2dbe4fad018e05bc22d165fdd6d30e18	main	vrend: name who writes a scanout, not only who renders into one
0980e75a699e0cee1c70a3f129c0d8ee6047aa93	270f481cb565805e3d9b0269b85fd0ea4f5bd121	main	harness: say which half of a reply the corpus is missing
0a9cf162c62f3a127e91627966dc63b2edef2512	d5889efba5372483e593be9a5a20989e3a4fc63d	main	docs: plan the Linux port, and say what the cost actually is
0aeb134b1e4136fd147df0fad373d3d71e7e0201	e222ef743cb03556b19b2fabe6085d368882f3d2	main	harness: the desktop session is the classic corpus
0bf88b9e578578904711b0962830ee667dddd166	6f4e738de66a5768cf179d7c5bc55d0e682e7edb	main	venus: let a classic resource lend the surface a venus context imports
0c38b13aa4e18115515e97f75da8bdd9b6e99724	0f556d6807e4b9a2fde27837ba12d7420f55cd30	main	vrend: give gl a fence sync that cannot be taken without its flush
0c7dd33ef67014050c80c056c278f5bd6148f479	b7b31baa4dbedd48fc5ed993662666dda8f8ea81	main	harness: the overview keeps presenting; correct what escaping it buys
0cab3aa26dfbb7d85cd00f31172fd358982ecfe6	d6c761b53728c02020e1641acfc2cfb46d9c2975	main	ffi: stop claiming to understand callbacks versions we have not read
0cb7620ffe8cd99a0a1eabccb072535014449100	8c91d3bd01e244840c8defb98145dc4a22b8c421	main	Give the repository its own guidance and a README
0cff6f8da000f114f078e5e0ac32b40f741c1706	96100ce1d1f70e11872b7280f3f7c6b5939bc9cd	main	vrend: the context layer, up to the no-draw gate
0d96121ce19f9f3a5f8ec1eca9fd86809f43390c	090bc7214613af74ca4cfcb41ca9b1b0bad1efcb	main	vrend: bind samplers without allocating, and say what a consumer must optimize
0e729d3cd6568fbdcaed25b2210fa6422670b814	48d9062f9978c57cfb543a54794f1fbef27b916d	main	harness: pack-corpora refuses to drop pins it cannot see
0ed9ead4627c104ecaac0819495bfcd23986164e	ca2a684b601b8d7a19a5ae254c8bf149a463a74c	main	vrend: export a classic scanout's texture as a dma-buf
0fc298441f2178009fcc5cfad252b0814b311693	4cc840b890591225ce9b87efea0b28ed2dc26f3b	main	ci: probe whether a hosted runner rasterizes
0fce652248b12d724906a94ea56c47c1bfc6fedc	4485d0b15c8aebd4d65616bf1d50afc3f2fde0c0	main	venus-gen: refuse a mako that rewrites the templates
0fe22e42e1f90dec9cdb36c0403e20a57a36c580	6d1775386352a8bd1863f781f4875e2700c39bab	main	virglrs: generate the object lifecycle, and pass both corpora with no GPU
101b854f9545b878774adce43bf0390c72a71388	f4283cfec7ea54a078cdc3ea1baa54f14e721f09	main	harness: a sweep that hangs is a sweep that cannot report the cases it was extended for
106a21572c2e7817b25d1aa3fa6799d80219570a	86dff0cabf6bc37085e0a1d94e55dba1aaa2ae18	main	docs: design the video phase, and settle the rebase question with facts
10716cffb05eab1a494eece49987c8e3da5bb677	f735f2a5a5bbd471a90a98227e249ab2e4c22100	main	venus: score a group on the worker log, not on the probe
1157a6df92fed5ec855ff6e007d906a5a5f31bd1	e84902f2e530efe1b5eadcf7132581b67cd4139f	main	venus: name a read-back allocation the way the census named it
11ed53311ad431846363cc5998b93e41e79843c1	d10367270a307cdd9250be0ff2e0334fc262a288	main	venus: pin that a scanout export lends the surface and not a name for it
11fa8164e0995d2c31d067bc9c5960f68665ce6d	eb2a19e2d6f50886323626abc16245b48a0f18cb	main	vrend: refuse the guest's numbers by name, and say a refusal out loud
121124510973de308937a39a206205213514248c	ee3f5e295e62513aa18982b86d3b5422f3265161	main	vrend: refuse a planar texture transfer by name, not by its bound
135243df6409911e235688605d813193d5e35523	508a0384fc78dfc8f89e64abb49703266de418ea	main	docs: the blank-texture case is reachable, unwanted, and not next
135efa289eaa3e8bbb975d46ca93f189679ea4a0	b3957ce05295abba7bc17bc4c69e8b0c8a6e0345	main	ffi: stop reading a size-versioned callbacks struct as a whole struct
14dc9eab6791a693f611189eba40a6ad95b2850c	5dd162bc43ea31d4949bfade806d958b57c62dbc	main	vrend: serve VP9 hardware decode
154ef6c6d3745964316607eebea0be2eb9e5dd24	d73bf911063c569025b2c2a1f1267daac1ea62d5	main	harness: park device-memory blob creates until their allocation lands
164f3cf709c52828a9c424fdd8ccec475b5b7718	4b169af79f357c0dd591fdfc4d2c6b0a7a0397cb	main	harness: record what the video oracle actually indicted
165cc82930753643e8100882eec48be276cac5b8	688d01feacf721aaeae6a7873a84e3c6ee245c11	main	harness: run the C tree's own tests against both legs
17214e8cc632750a2af05b2ca5e5465e1373f6af	d1b627864499be5c2af41984d785820bc052575e	main	vrend: ask EGL which context is current, never remember it
17bb3970245cd30343fdd8f8caed5d4cb7acec93	983efdfbe774b6cd1c99a438ea38ef6196308a0f	main	renderer: a context name is a name, not the buffer it travelled in
17cdba0e3fb0d820c929abb092e89a66dccc601b	51cae95680a7b18f322ec93603c68150be2c9789	main	venus: do not let a guest's allocation size wrap when it is padded
17f8fd045fe201ed537eedb9566d24108b11476f	d3c914c6dfbb3874bb094e9c0df15e01c903a272	main	vrend: run on the embedder's GL contexts when it has some
18c59a0e01b6bdcf5f013f237591168a71426cb9	8b8347d081966ee4858c29286d8d1dbb53b7cb90	main	venus: tell the journal which recordings a pool reset discarded
18c9dbc75a1742eb8326ef18acf859fa3b78dced	ec24dc96e7face89059968ee6e304a56de943460	main	ffi: the sync-file trio is a refusal, not a gap
18f4c5e9d0eedd86a520e1c4f02fac40e234566d	93a205bd1ef681b7088ee4834974a3e5241f2247	main	ffi: answer a transfer the way virglrenderer answers one
18fc8df6dadbdc8953814755510a4af945969a45	d27a69340ce9de5e7d70acde9aa96a1b1fc38e0b	main	venus: keep the minting host compiling
19358f4c9319237fe997f0926b0d515636c14423	35c118e55cb7b7cc9c45cfbcb5e4610029952c28	main	docs: P0 is done
195e5d059f74fa1e4cf74dccc822f6b3921e6950	cdd78effe5f3d3c607c189906b54e715cb4632c7	main	vrend: let an object keep the command that created it
1962048a3e48608c1518eb5173999af084ea855e	44c901dd75ab30877ca94ead11d48611668980c0	main	vrend: ask the cheaper question first when binding UBOs
199205339930b3689b8478f7b1661fa897387001	4601a485300335b1a97d3247ecca062038962101	main	venus: let a resource hold a share of its storage, not a name in one context's table
1a2faf8ae1a7c808166fb6d11fe70e28e22ca48d	8787db83f48c42818b683f1d816a2df57e13853d	main	harness: make the correctness leg able to fail
1aa193d7a0efee566f45f465912254b1a2795b07	294d6553097d38ac489d9b5933b27172f9e0b4fb	main	vrend: have the sampler-view trace say whether a view was ever possible
1b232b65ddff12cb5686b552aedd3af99f354534	7c292dcb54c4630e74ad2c08f191faccf5d7c9d4	main	harness: say what a Rust score and a C score disagree about
1b2d26f2de0b2b23ab64f9cb0d05a5120dcd8cf9	d6e23282271b38ea2ffc5aaad3f0aee44a62b1b0	main	vrend: link the selected variants and serve the draws
1b694291bb2d268876cadf46c5b83d9e53af5bf1	9210e1526c9f3a9f098997d0fabe77065f2555c2	main	vrend: time the fence path, and say what the submit timer never covered
1ba05e925c91f61bcb046f27ba7e18a0a4b677ef	840fe5dfc0d080f7c1d76e1da00b69f0438feae7	main	vrend: export every plane a compressed modifier reports
1c4caa1991addbfb9b65ee9536bbbc42591f0406	f537df087d551f0b908b045d924099757f126e79	main	venus: what a blob needs of an allocation travels into the export
1c7f015932963cc7f1951cf67d7164cf1555449b	7f5483cc05e83cc2ce44b9ae034526254a4bbe4f	main	venus: witness the cap in both spellings of the properties query
1d82a78f1384b434110697c370c61db4c70e5863	977c5d52bd4f80b1b87b7bb65588889ec585c7ce	main	venus: answer the memory budget from our ledger, not from the GPU driver
1dd0d9d2583192630fac44c3f27514e2a1c2c3f1	055a1da647c31b61de467841f65752314d44f001	main	vrend: export a context's journal as one seq-ordered stream
1e1ed36597bcfcd847e3455c46c7938ca433f71f	cb583ee6e4d34b400a7102b813db8203ca9200ea	main	venus: let a pool's objects die with the pool
1f0755b805e6807346130574010fb01aec0a0dc4	0cdcf0806e76711e15fceee6b6aa66bf94e8b574	main	venus: an unserved command stops the context, whatever the reply flag said
1f58c5622c33390bb8f339fb813ed15b9ccb9460	18a220cf9461e5996c76af6c22b060fb4a71a028	main	harness: record the replayer's lockfile after virglrs took bytemuck
1f7765df05b4d2cc1ba6484b681ec2ae968e612d	30b0658f84417a99260001632f6329a9410844fe	main	harness: score the composite planar corpus instead of crashing on it
1fd19c253f067fb5f6c60e6e5b964418059db48a	fd17672bccdeb36dbb73d346e2f6f18189c0d11e	main	vrend: a fence covers every queue its work could be on, not one of them
205aec3706549cbfe154bf779c6730327a9ee2c5	825ec37a03a01a22bcdc65dd3b71909cbe404f89	main	harness: state the gate's real cost, now it is three suites
2064fbbbf05bcaae280ebc35bef2fa006ec20e5f	ebf7867c4d938cd69bced5e9d549da526763cd66	main	vkr_record: record the control path, not only the command stream
20dbaeae199874e97c038e2c38c18106049af2cf	33b4a5a455a1cd775346a743ff375987f6dfb6ea	main	harness: say what a lost blob share would actually do
214b5be8a7ff2925183b756c1620be3d42c7022b	3cdbdee9077cf435967d2a0b2fe2e544be552aa7	main	harness: name the corpora that would show a per-command cost
21748207bf35ae3ea3371226d1baedd78c1e1e50	26a86e84c4000124d2a9f7a253c8a9624604260f	main	docs: what venus still owes, carried into P3
21d1a9824ee29ba649f52138d525a3833e32c722	3a3fcd072586d4ed8cc6f79cc72f315e5010c955	main	docs: the IOSurface rules a port owes
21f2f463ce5e2816c2f000ec3d5f71f9db70ac9f	fae8c4f807cb4dd943aa365023dfdffc040c8c71	main	video: port the H.264 framing, and bring the C serializers into the oracle build
22a0429a4fde99ad792744f7e37561285b37295c	237cd28058c97773776b8b63c56ae8df583804eb	main	docs: nine of ten transport commands, and the two rules the last four established
22a098d51739a84120a2a6250dfb039b1d6feb51	ddf4c66ee9b12b5101f75c3f5db8dd6034eca552	main	docs: drop the census-divergence question, answered
237e4a605a557069ffdffbd7a2ca840d1cfa17e2	aa0b5d20d936dba2e148b0aa77bdc27898eca274	main	venus: a pool and its contents are one record, and die with their device
23e34cdd71ee7c72bc3e3502c9c083b50a6d4942	fbd22dd4164bbbf81c727b276cea63b97f60607f	main	vrend: name the call a sampler view's GL error came from
243f5a70b0e9eec7f8ae08c1fa728278a1bcb21b	4946eabb8dc6242c018b7a78d2b6f5bb6c78d4f5	main	vrend: type an attached blob, adopting the surface its exporter published
248f8aa2389de1af6630d03abbc5f51e7ccf8c00	c6929c1c76c880d6aebb58d81f9062cafb36aaa6	main	harness: run the replay wrappers on either host
24ebab97fa9ea052897b0a71af0ca04edc1999de	7421048c9d68784fbb3fea1070ff242101d67684	main	vrend: say what attached means, and what actually makes a present sound
2512f2ebbad8581a9488293d47daa908509894db	9666f2adddbbb7e4e8e2422760be7913c817eb20	main	vrend: the program owns whether its sysval block is current
2539cf0fb8d960dd09dfaad7ceda7282daa8ddfb	580275d8d49f5c72291a3b2cd97764281f5afa18	main	vrend: serve the blob a classic context describes for itself
268c5bb93771739aa432ee9cf7f3415f22a268b2	702ba7118b0a2c0eb243ab23a46271123ae3bf3c	main	renderer: a blob holds one kind of storage
271d684d1bf95e12c64c4d1422f2e1cfc3642277	3f293e246bae48e8d9df4f2d5b698937375f4b4f	main	renderer: make reset destroy what it reports destroying
2778918a204878033549cc068104f126b26bc51a	b4e531eb9936d6229261cb481669477b17e29021	main	venus: answer the guest, into the window it lent us
2819606be61f756c58ccf82aa54c34e4fd16993d	39421c090563719be095ed75e5d5d79866a8a86b	main	venus: prove three counts stay with their own three arrays
28dd116d24c62d2845349ab0474bb08f49662dfa	407b4b35d6c1661324950e68c8d80a9c2081ab51	main	venus: an opaque layout is not a layout to ask for
2925777bd9486c45cee4c007ce2f9bb881af56be	e8ba40b750633b0e89ba3c7093567a8213152cb3	main	venus: a command argument that is one pointee is a reference, not a pointer
2a16dcba3668e7a51f38a30ac2e1fe812734eb02	56afe7adb4ddc3c1f1558b536d42b854e749bd52	main	vkr_record: stamp every event with an execution clock (format v4)
2a3974edbbc12a65db2dae84c9413676f5b6f417	c159a413f9ff8171f080791df007175b3f436d73	main	virglrs: generate the venus wire serializer
2a5db23481470b9bd453ee71949d5502c49d466a	2dfd5fb7ac74aa94b72202ab2d29226e92a96ab6	main	venus: let an Option mean optional, and nothing else
2ab6e400991be9b76679cccb386a5329ec8e17f2	d4fb7f23380e5fbe97b2435e10cb41caa8aceeb6	main	build-reference: take the host's own epoxy and Mesa when it has them
